City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-3.68,63,99,3.29,SJ,1737436721
1,charlotte,35.2271,-80.8431,-4.02,40,0,3.6,US,1737436667
2,kudahuvadhoo,2.6708,72.8944,27.55,75,63,4.14,MV,1737436723
3,san luis de la loma,17.2706,-100.8939,23.57,81,8,1.94,MX,1737436724
4,nevel'sk,46.6733,141.8633,-5.33,72,4,0.94,RU,1737436725
5,adamstown,-25.066,-130.1015,24.69,75,9,5.24,PN,1737436726
6,ete,7.05,7.45,21.32,92,21,1.45,NG,1737436728
7,utrik,11.2278,169.8474,26.7,83,26,9.16,MH,1737436729
8,waitangi,-43.9535,-176.5597,16.57,74,38,1.79,NZ,1737436730
9,blackmans bay,-43.0167,147.3167,22.51,74,74,0.45,AU,1737436731
10,mejit,10.2753,170.8646,26.71,81,45,8.58,MH,1737436732
11,nar'yan-mar,67.6713,53.087,-25.67,96,100,2.76,RU,1737436733
12,revda,56.801,59.9303,-15.19,91,100,4.95,RU,1737436734
13,anadyr,64.75,177.4833,-28.72,75,0,5.0,RU,1737436736
14,isafjordur,66.0755,-23.124,-1.28,90,100,5.73,IS,1737436737
15,grytviken,-54.2811,-36.5092,1.04,82,75,2.87,GS,1737436738
16,lebu,-37.6167,-73.65,16.03,93,99,3.45,CL,1737436673
17,bredasdorp,-34.5322,20.0403,19.59,81,54,8.12,ZA,1737436741
18,port-aux-francais,-49.35,70.2167,7.37,97,100,12.76,TF,1737436461
19,bilibino,68.0546,166.4372,-33.84,100,100,0.58,RU,1737436743
20,mili,6.0815,171.735,26.55,86,100,9.5,MH,1737436744
21,marsh harbour,26.5412,-77.0636,21.54,89,100,8.39,BS,1737436746
22,palasa,18.7667,84.4167,26.92,32,6,2.33,IN,1737436747
23,nemuro,43.3236,145.575,-0.72,65,53,6.74,JP,1737436748
24,ushuaia,-54.8,-68.3,5.78,93,82,2.74,AR,1737436727
25,weno,7.4515,151.8468,30.97,74,100,3.6,FM,1737436751
26,bethel,41.3712,-73.414,-10.24,72,25,0.89,US,1737436752
27,hlybokaye,55.1382,27.6879,-0.35,93,100,3.67,BY,1737436753
28,jamestown,42.097,-79.2353,-16.1,71,100,7.2,US,1737436619
29,carnarvon,-24.8667,113.6333,33.19,52,76,12.76,AU,1737436521
30,atafu village,-8.5421,-172.5159,28.56,76,49,6.89,TK,1737436756
31,nuuk,64.1835,-51.7216,0.34,93,100,9.26,GL,1737436757
32,gornopravdinsk,60.05,69.9,-10.49,96,100,2.8,RU,1737436758
33,sovetskaya gavan',48.9723,140.2878,-7.0,78,34,1.28,RU,1737436759
34,novyy urgal,51.0736,132.5642,-16.12,82,44,0.41,RU,1737436760
35,holualoa,19.6228,-155.9522,20.46,88,96,0.89,US,1737436762
36,envira,-7.3,-70.2167,22.61,89,99,1.16,BR,1737436764
37,sitka,57.0531,-135.33,3.94,87,100,1.54,US,1737436765
38,chegdomyn,51.1167,133.0167,-14.22,79,30,0.59,RU,1737436766
39,usinsk,65.9939,57.5281,-22.98,81,100,5.54,RU,1737436767
40,santyoku,37.4406,129.1708,7.12,54,13,2.25,KR,1737436768
41,minas de marcona,-15.2119,-75.1103,16.31,79,74,3.4,PE,1737436769
42,santiago de cao,-7.9589,-79.2392,18.07,88,93,3.6,PE,1737436771
43,tiksi,71.6872,128.8694,-31.1,96,100,3.4,RU,1737436772
44,bhigvan,18.3167,74.7667,25.19,24,1,1.29,IN,1737436773
45,tosontsengel,48.7567,98.2839,-15.81,91,93,0.89,MN,1737436774
46,tazovsky,67.4667,78.7,-36.44,96,100,4.16,RU,1737436775
47,chela,34.069,104.4619,4.38,60,88,1.74,CN,1737436776
48,atlantic beach,30.3344,-81.3987,7.23,75,100,4.12,US,1737436635
49,fujin,47.26,132.0322,-11.99,84,100,1.04,CN,1737436778
50,diu,20.7141,70.9822,26.61,41,1,2.55,IN,1737436779
51,ust-nera,64.5667,143.2,-30.9,98,93,2.22,RU,1737436780
52,guane,22.2025,-84.0875,20.5,92,100,2.12,CU,1737436781
53,puerto natales,-51.7236,-72.4875,9.8,89,100,0.4,CL,1737436782
54,stanley,54.868,-1.6985,2.01,97,100,2.06,GB,1737436783
55,luderitz,-26.6481,15.1594,17.52,79,0,5.82,NA,1737436785
56,fale old settlement,-9.3852,-171.2468,28.76,75,67,7.01,TK,1737436786
57,isangel,-19.55,169.2667,29.82,69,100,3.5,VU,1737436787
58,bobrovskiy,56.6732,60.9807,-10.91,73,75,6.0,RU,1737436788
59,tura,25.5198,90.2201,23.95,41,0,1.5,IN,1737436789
60,uliastay,47.7417,96.8444,-9.89,72,4,2.05,MN,1737436790
61,klyuchi,52.2667,79.1667,-0.68,84,96,8.02,RU,1737436791
62,wailua homesteads,22.0669,-159.378,22.44,90,75,7.2,US,1737436792
63,kingston,17.997,-76.7936,25.53,69,20,3.09,JM,1737436480
64,vorkuta,67.5,64.0,-27.19,86,100,3.31,RU,1737436794
65,georgetown,5.4112,100.3354,28.97,70,20,4.12,MY,1737436766
66,ketchikan,55.3422,-131.6461,3.88,99,100,1.54,US,1737436799
67,petauke,-14.2426,31.3253,18.7,98,100,1.3,ZM,1737436503
68,pombas,17.1503,-25.0201,15.16,70,80,3.97,CV,1737436801
69,valle de la pascua,9.2155,-66.0073,23.63,77,3,2.98,VE,1737436802
70,westport,41.1415,-73.3579,-7.6,61,0,1.79,US,1737436735
71,khorixas,-20.3667,14.9667,22.4,29,100,0.99,NA,1737436804
72,ta`u,-14.2336,-169.5144,28.23,77,35,5.74,AS,1737436806
73,inhambane,-23.865,35.3833,26.99,94,75,2.57,MZ,1737436807
74,saipan,15.1355,145.701,31.39,80,40,5.66,MP,1737436809
75,dakhla,23.6848,-15.958,16.37,80,0,2.95,EH,1737436810
76,edinburgh of the seven seas,-37.0676,-12.3116,18.3,95,100,7.19,SH,1737436811
77,papatowai,-46.5619,169.4708,17.32,61,54,4.45,NZ,1737436812
78,ivdel',60.6911,60.4206,-23.58,88,96,4.56,RU,1737436699
79,hawaiian paradise park,19.5933,-154.9731,21.73,89,100,4.12,US,1737436814
80,albany,42.6001,-73.9662,-15.11,74,6,3.03,US,1737436815
81,taghazout,30.5426,-9.7112,18.15,37,1,7.66,MA,1737436816
82,kimbe,-5.5502,150.1429,29.55,73,98,1.15,PG,1737436817
83,lautoka,-17.6167,177.4667,30.92,70,75,4.63,FJ,1737436818
84,balancan,17.8,-91.5333,20.63,91,28,2.0,MX,1737436820
85,avarua,-21.2078,-159.775,25.03,100,75,0.51,CK,1737436821
86,sisimiut,66.9395,-53.6735,-5.48,87,100,3.09,GL,1737436822
87,sharkan,57.2989,53.8712,-9.35,86,99,8.67,RU,1737436823
88,iqaluit,63.7506,-68.5145,-19.06,70,40,1.54,CA,1737436825
89,la mira,18.035,-102.3266,21.31,85,67,1.95,MX,1737436826
90,goiatuba,-18.0125,-49.3547,19.23,88,0,1.95,BR,1737436827
91,invercargill,-46.4,168.35,19.45,45,45,4.47,NZ,1737436619
92,sarnia,42.9787,-82.4041,-14.93,75,0,4.12,CA,1737436790
93,taoudenni,22.6783,-3.9836,12.42,30,0,4.6,ML,1737436831
94,mirnyy,62.5353,113.9611,-10.98,89,100,4.85,RU,1737436832
95,altamira,-3.2033,-52.2064,21.84,98,77,0.76,BR,1737436834
96,nikolayevsk-on-amure,53.1406,140.73,-11.15,89,19,2.18,RU,1737436835
97,afaahiti,-17.75,-149.2833,26.19,73,94,5.99,PF,1737436836
98,port blair,11.6667,92.75,27.49,66,27,5.02,IN,1737436837
99,punta arenas,-53.15,-70.9167,11.06,76,75,2.57,CL,1737436679
100,centerville,39.6284,-84.1594,-15.08,74,0,2.57,US,1737436839
101,chittarkonda,18.1167,82.0833,28.05,16,2,1.1,IN,1737436840
102,west island,-12.1568,96.8225,29.99,62,40,6.17,CC,1737436841
103,cataguases,-21.3892,-42.6967,24.07,86,70,1.18,BR,1737436836
104,huehuetan,15.0167,-92.3667,25.23,75,91,1.41,MX,1737436844
105,susuman,62.7833,148.1667,-39.32,99,93,0.55,RU,1737436845
106,tromso,69.6496,18.957,-10.99,79,0,2.06,NO,1737436846
107,toamasina,-18.1667,49.3833,26.0,89,75,0.0,MG,1737436847
108,soure,-0.7167,-48.5233,24.78,88,100,2.74,BR,1737436765
109,sinabang,2.4803,96.3801,27.69,79,99,1.91,ID,1737436849
110,vila franca do campo,37.7167,-25.4333,15.23,86,54,11.21,PT,1737436850
111,puerto ayora,-0.7393,-90.3518,24.09,82,12,3.7,EC,1737436851
112,talnakh,69.4865,88.3972,-42.15,95,49,1.04,RU,1737436852
113,ribeira grande,38.5167,-28.7,14.87,83,86,13.86,PT,1737436853
114,ozalp,38.6548,43.993,-21.18,89,53,1.07,TR,1737436854
115,hithadhoo,-0.6,73.0833,28.19,75,100,6.58,MV,1737436855
116,gardendale,33.6601,-86.8128,-6.55,53,0,2.57,US,1737436857
117,kodiak,57.79,-152.4072,3.73,93,100,6.17,US,1737436859
118,soc trang,9.6033,105.98,30.04,48,86,2.72,VN,1737436860
119,divo,5.8397,-5.36,21.67,98,30,1.13,CI,1737436861
120,thompson,55.7435,-97.8558,-29.91,76,40,1.54,CA,1737436862
121,walvis bay,-22.9575,14.5053,17.53,77,100,4.12,NA,1737436863
122,roussillon,45.373,4.8073,1.34,95,98,1.29,FR,1737436864
123,enewetak,11.3474,162.3373,27.21,80,63,8.68,MH,1737436865
124,malango,-2.9627,119.9001,26.4,75,100,0.68,ID,1737436866
125,sao joao da barra,-21.6403,-41.0511,24.86,92,99,4.42,BR,1737436867
126,sao vicente,-23.9631,-46.3919,29.43,26,76,2.74,BR,1737436868
127,schweizer-reneke,-27.1887,25.3293,22.73,40,32,3.41,ZA,1737436870
128,college,64.8569,-147.8028,-4.5,92,75,0.0,US,1737436573
129,banda aceh,5.5577,95.3222,29.59,62,11,3.98,ID,1737436872
130,broken hill,-31.95,141.4333,38.98,13,6,6.42,AU,1737436732
131,lerwick,60.1545,-1.1494,7.41,91,100,4.08,GB,1737436640
132,homosassa springs,28.8036,-82.5759,6.72,68,100,3.6,US,1737436875
133,arteche,12.2645,125.4048,27.52,84,100,3.57,PH,1737436876
134,tazacorte,28.629,-17.9293,18.54,98,100,2.57,ES,1737436877
135,westerland,54.9079,8.3033,4.01,94,100,7.72,DE,1737436878
136,port lincoln,-34.7333,135.8667,21.67,60,74,8.02,AU,1737436880
137,udachny,66.4167,112.4,-28.35,100,94,1.29,RU,1737436881
138,boa vista,2.8197,-60.6733,25.99,61,0,4.63,BR,1737436687
139,bantogon,6.5333,124.0333,28.46,79,99,3.06,PH,1737436883
140,sabha,27.0377,14.4283,8.82,58,0,4.1,LY,1737436884
141,klaksvik,62.2266,-6.589,6.74,81,59,1.27,FO,1737436885
142,kapuskasing,49.4169,-82.4331,-30.95,75,0,3.09,CA,1737436886
143,siwa oasis,29.2041,25.5195,15.42,60,76,2.56,EG,1737436887
144,al jawf,29.5,38.75,8.35,62,23,1.73,SA,1737436888
145,hamilton,39.1834,-84.5333,-12.89,65,0,2.57,US,1737436828
146,qalat,32.1058,66.9083,3.63,73,12,4.57,AF,1737436891
147,tralee,52.2704,-9.7026,6.39,92,93,1.79,IE,1737436892
148,ayaviri,-14.8864,-70.5889,6.68,88,98,1.42,PE,1737436893
149,haiku-pauwela,20.9219,-156.3051,22.25,79,40,7.6,US,1737436754
150,hede,33.7681,120.2517,14.43,23,0,3.0,CN,1737436895
151,qaqortoq,60.7167,-46.0333,-1.15,66,100,8.33,GL,1737436896
152,northam,51.0333,-4.2167,3.94,86,98,2.75,GB,1737436897
153,namdrik,5.5994,168.1028,27.32,82,92,9.22,MH,1737436898
154,tyniste nad orlici,50.1514,16.0777,-1.61,89,100,2.37,CZ,1737436899
155,east london,-33.0153,27.9116,20.52,83,100,1.03,ZA,1737436900
156,hadibu,12.65,54.0333,23.86,70,92,3.89,YE,1737436901
157,sur,22.5667,59.5289,21.76,56,1,2.3,OM,1737436902
158,longyearbyen,78.2186,15.6401,-16.09,72,75,5.66,SJ,1737436903
159,mount pearl,47.5166,-52.7813,0.64,83,100,14.92,CA,1737436905
160,bahjoi,28.4,78.6167,20.09,30,1,5.45,IN,1737436906
161,gizo,-8.103,156.8419,29.73,70,72,2.22,SB,1737436907
162,xilin hot,43.9667,116.0333,-9.97,68,3,1.37,CN,1737436908
163,tarawa,1.419,172.984,29.05,74,40,5.66,KI,1737436909
164,tshikapa,-6.4167,20.8,20.65,97,100,0.36,CD,1737436910
165,tolanaro,-25.0319,46.9987,30.04,66,20,5.14,MG,1737436911
166,porangatu,-13.4408,-49.1486,21.37,94,38,0.4,BR,1737436912
167,luanda,-8.8368,13.2343,26.0,78,75,2.06,AO,1737436781
168,ilulissat,69.2167,-51.1,0.01,59,100,6.17,GL,1737436915
169,keflavik,64.0049,-22.5624,0.24,86,0,4.12,IS,1737436916
170,thinadhoo,0.5333,72.9333,28.0,75,75,4.55,MV,1737436917
171,al fashn,28.8243,30.8995,14.28,49,100,2.32,EG,1737436918
172,huambo,-12.7761,15.7392,15.89,94,100,3.09,AO,1737436919
173,taulaga,-11.0553,-171.0883,28.69,75,13,5.86,AS,1737436920
174,cabedelo,-6.9811,-34.8339,25.37,80,18,2.76,BR,1737436678
175,cartagena,10.3997,-75.5144,24.79,88,0,4.92,CO,1737436922
176,port hedland,-20.3167,118.5667,33.03,62,100,5.66,AU,1737436923
177,alice springs,-23.7,133.8833,41.75,8,0,6.69,AU,1737436757
